response_id,order_id,customer_id,response_date,satisfaction_score,complaint_category,free_text_comment
CSAT-00307,ORD-00756,CUST-01249,2025-04-15,7,None,
CSAT-00308,ORD-01847,CUST-00470,2025-04-16,7,None,
CSAT-00309,ORD-01454,CUST-00435,2025-07-14,6,None,
CSAT-00310,ORD-02814,CUST-01260,2025-06-17,3,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00311,ORD-00291,CUST-01326,2025-04-25,7,None,"Great product, arrived on time!"
CSAT-00312,ORD-02396,CUST-01223,2025-08-01,1,Delivery Speed,No communication about the delay. Had to call three times.
CSAT-00313,ORD-00740,CUST-01248,2025-05-10,3,Customer Service,No communication about the delay. Had to call three times.
CSAT-00314,ORD-01897,CUST-01532,2025-04-30,7,None,Excellent value for the money.
CSAT-00315,ORD-01226,CUST-01799,2025-04-28,9,Packaging,Fast shipping and good quality.
CSAT-00316,ORD-00222,CUST-01447,2025-07-06,6,None,Not worth the price. Feels cheaply made.
CSAT-00317,ORD-01926,CUST-01581,2025-04-26,7,Packaging,Good experience overall.
CSAT-00318,ORD-00467,CUST-00607,2025-06-10,6,Customer Service,Took a few extra days but the product is okay.
CSAT-00319,ORD-01387,CUST-00439,2025-05-09,8,None,Exactly what I needed. Would buy again.
CSAT-00320,ORD-02921,CUST-00295,2025-07-03,5,None,Not worth the price. Feels cheaply made.
CSAT-00321,ORD-01707,CUST-01737,2025-05-26,8,None,Very happy with my purchase.
CSAT-00322,ORD-00853,CUST-01247,2025-06-19,3,Customer Service,Not worth the price. Feels cheaply made.
CSAT-00323,ORD-00045,CUST-00425,2025-05-10,7,None,
CSAT-00324,ORD-01203,CUST-00363,2025-05-07,6,None,Packaging was minimal — item rattled around in the box.
CSAT-00325,ORD-00995,CUST-01444,2025-04-29,10,None,
CSAT-00326,ORD-01933,CUST-01542,2025-06-17,6,Delivery Speed,
CSAT-00327,ORD-02878,CUST-00696,2025-05-17,7,None,Product exceeded my expectations.
CSAT-00328,ORD-00981,CUST-00926,2025-04-30,9,None,
CSAT-00329,ORD-01310,CUST-00303,2025-05-08,7,Packaging,Happy customer. Will order again.
CSAT-00330,ORD-02555,CUST-01107,2025-04-18,9,None,Exactly what I needed. Would buy again.
CSAT-00331,ORD-00609,CUST-01326,2025-04-26,8,None,
CSAT-00332,ORD-00754,CUST-00286,2025-05-30,5,Product Quality,The item broke within a week of use.
CSAT-00333,ORD-00984,CUST-00314,2025-06-17,8,None,Good experience overall.
CSAT-00334,ORD-01823,CUST-01074,2025-06-02,8,None,
CSAT-00335,ORD-00265,CUST-00078,2025-07-05,5,Delivery Speed,Customer service was unhelpful when I called about my order.
CSAT-00336,ORD-02135,CUST-01601,2025-07-16,4,Packaging,Not worth the price. Feels cheaply made.
CSAT-00337,ORD-01541,CUST-00648,2025-06-18,3,Packaging,Packaging was minimal — item rattled around in the box.
CSAT-00338,ORD-00522,CUST-00732,2025-06-30,6,None,The item broke within a week of use.
CSAT-00339,ORD-01424,CUST-00442,2025-04-26,8,None,Happy customer. Will order again.
CSAT-00340,ORD-01684,CUST-01658,2025-07-05,2,Delivery Speed,My furniture arrived with visible damage from shipping.
CSAT-00341,ORD-01127,CUST-01438,2025-06-23,7,None,
CSAT-00342,ORD-01763,CUST-00075,2025-04-16,7,None,Exactly what I needed. Would buy again.
CSAT-00343,ORD-00110,CUST-00834,2025-05-23,8,None,Happy customer. Will order again.
CSAT-00344,ORD-02656,CUST-01023,2025-04-18,9,None,
CSAT-00345,ORD-00769,CUST-01278,2025-04-29,8,None,Love it! Shipping was quick.
CSAT-00346,ORD-01119,CUST-00180,2025-04-29,2,Delivery Speed,My furniture arrived with visible damage from shipping.
CSAT-00347,ORD-00568,CUST-01337,2025-04-16,8,None,Love it! Shipping was quick.
CSAT-00348,ORD-00219,CUST-01175,2025-05-17,4,Delivery Speed,The item broke within a week of use.
CSAT-00349,ORD-02118,CUST-00081,2025-04-25,6,Delivery Speed,
CSAT-00350,ORD-02044,CUST-01252,2025-05-28,10,None,Very happy with my purchase.
CSAT-00351,ORD-00436,CUST-00559,2025-05-21,10,None,Product exceeded my expectations.
CSAT-00352,ORD-00946,CUST-01666,2025-05-04,5,Product Quality,Packaging was minimal — item rattled around in the box.
CSAT-00353,ORD-00758,CUST-00334,2025-06-07,4,Customer Service,Not worth the price. Feels cheaply made.
CSAT-00354,ORD-01709,CUST-00081,2025-06-13,8,None,Love it! Shipping was quick.
CSAT-00355,ORD-02578,CUST-00385,2025-05-05,7,None,
CSAT-00356,ORD-00860,CUST-01368,2025-06-15,7,None,Love it! Shipping was quick.
CSAT-00357,ORD-00305,CUST-01260,2025-04-17,10,None,Good experience overall.
CSAT-00358,ORD-01103,CUST-00770,2025-05-12,6,None,Wrong color sent. Had to return.
CSAT-00359,ORD-02115,CUST-00372,2025-07-11,6,Product Quality,The item broke within a week of use.
CSAT-00360,ORD-00377,CUST-01359,2025-06-01,8,None,Product exceeded my expectations.
CSAT-00361,ORD-00148,CUST-00938,2025-07-06,9,None,Happy customer. Will order again.
CSAT-00362,ORD-02433,CUST-00451,2025-06-10,7,None,Good experience overall.
CSAT-00363,ORD-01475,CUST-01473,2025-04-28,7,Product Quality,
CSAT-00364,ORD-00042,CUST-00855,2025-04-10,9,Product Quality,Very happy with my purchase.
CSAT-00365,ORD-02917,CUST-00511,2025-06-07,8,None,
CSAT-00366,ORD-01615,CUST-00939,2025-06-26,8,None,"Great product, arrived on time!"
CSAT-00367,ORD-02998,CUST-00769,2025-06-13,8,Product Quality,Smooth ordering process and fast delivery.
CSAT-00368,ORD-01908,CUST-00504,2025-05-28,5,Delivery Speed,Product quality was not what I expected.
CSAT-00369,ORD-02798,CUST-01125,2025-07-08,7,None,
CSAT-00370,ORD-02972,CUST-00787,2025-05-19,5,None,
CSAT-00371,ORD-00228,CUST-00056,2025-06-27,8,None,Very happy with my purchase.
CSAT-00372,ORD-00114,CUST-00761,2025-05-22,7,None,Happy customer. Will order again.
CSAT-00373,ORD-00210,CUST-01241,2025-07-19,1,Delivery Speed,Delivery was so late I almost forgot I ordered it.
CSAT-00374,ORD-02775,CUST-00992,2025-05-13,10,None,Product exceeded my expectations.
CSAT-00375,ORD-00549,CUST-00484,2025-07-07,10,None,Good experience overall.
CSAT-00376,ORD-01110,CUST-00127,2025-04-29,9,Product Quality,Fast shipping and good quality.
CSAT-00377,ORD-02393,CUST-01368,2025-05-04,8,None,Love it! Shipping was quick.
CSAT-00378,ORD-00137,CUST-01344,2025-04-13,6,Product Quality,Customer service was unhelpful when I called about my order.
CSAT-00379,ORD-01517,CUST-00747,2025-06-21,5,Delivery Speed,Product quality was not what I expected.
CSAT-00380,ORD-02652,CUST-01221,2025-06-24,7,None,Love it! Shipping was quick.
CSAT-00381,ORD-02464,CUST-00796,2025-06-28,6,None,The item broke within a week of use.
CSAT-00382,ORD-01426,CUST-01017,2025-06-10,8,Packaging,Product exceeded my expectations.
CSAT-00383,ORD-01893,CUST-00575,2025-04-16,5,Packaging,
CSAT-00384,ORD-00225,CUST-00760,2025-06-21,8,None,Exactly what I needed. Would buy again.
CSAT-00385,ORD-00814,CUST-00971,2025-06-09,4,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00386,ORD-00794,CUST-00868,2025-05-20,9,None,Fast shipping and good quality.
CSAT-00387,ORD-00664,CUST-00956,2025-04-29,8,Product Quality,Smooth ordering process and fast delivery.
CSAT-00388,ORD-02780,CUST-00151,2025-06-29,6,Customer Service,Not worth the price. Feels cheaply made.
CSAT-00389,ORD-02986,CUST-00509,2025-06-28,7,None,
CSAT-00390,ORD-01506,CUST-01007,2025-05-13,8,None,Product exceeded my expectations.
CSAT-00391,ORD-01183,CUST-01070,2025-04-14,8,Packaging,
CSAT-00392,ORD-01126,CUST-00771,2025-07-06,3,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00393,ORD-00096,CUST-01085,2025-05-30,7,None,Smooth ordering process and fast delivery.
CSAT-00394,ORD-02641,CUST-00162,2025-04-20,7,Product Quality,Exactly what I needed. Would buy again.
CSAT-00395,ORD-01906,CUST-01741,2025-06-26,4,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00396,ORD-00790,CUST-01633,2025-05-17,7,None,Product exceeded my expectations.
CSAT-00397,ORD-01208,CUST-00020,2025-04-28,4,Packaging,My furniture arrived with visible damage from shipping.
CSAT-00398,ORD-01841,CUST-01280,2025-05-25,6,None,Expected better quality for the price.
CSAT-00399,ORD-02413,CUST-01343,2025-04-12,7,None,Fast shipping and good quality.
CSAT-00400,ORD-02703,CUST-01498,2025-06-18,7,None,
CSAT-00401,ORD-02431,CUST-00478,2025-06-22,4,Product Quality,Customer service was unhelpful when I called about my order.
CSAT-00402,ORD-00572,CUST-00082,2025-06-09,3,Delivery Speed,Product was fine but the shipping delay ruined my plans.
CSAT-00403,ORD-02254,CUST-00011,2025-04-28,9,None,Excellent value for the money.
CSAT-00404,ORD-00329,CUST-00837,2025-05-27,9,None,"Great product, arrived on time!"
CSAT-00405,ORD-00078,CUST-01263,2025-04-14,8,None,Excellent value for the money.
CSAT-00406,ORD-01240,CUST-00911,2025-07-10,5,Product Quality,
CSAT-00407,ORD-01030,CUST-01260,2025-07-08,4,Delivery Speed,Customer service was unhelpful when I called about my order.
CSAT-00408,ORD-00401,CUST-01780,2025-06-18,4,Packaging,Packaging was minimal — item rattled around in the box.
CSAT-00409,ORD-02344,CUST-00787,2025-05-23,7,None,Fast shipping and good quality.
CSAT-00410,ORD-02756,CUST-00399,2025-04-20,9,None,"Great product, arrived on time!"
CSAT-00411,ORD-01690,CUST-00090,2025-06-07,4,Packaging,Took a few extra days but the product is okay.
CSAT-00412,ORD-00103,CUST-00082,2025-05-19,4,Customer Service,The item broke within a week of use.
CSAT-00413,ORD-00656,CUST-00920,2025-04-25,10,None,Very happy with my purchase.
CSAT-00414,ORD-00335,CUST-01134,2025-07-01,7,None,Excellent value for the money.
CSAT-00415,ORD-02139,CUST-01381,2025-05-27,9,None,
CSAT-00416,ORD-01407,CUST-00976,2025-06-27,7,None,Product exceeded my expectations.
CSAT-00417,ORD-00792,CUST-01316,2025-06-23,8,None,Fast shipping and good quality.
CSAT-00418,ORD-02166,CUST-01489,2025-06-21,2,Delivery Speed,Package arrived two weeks late with no explanation.
CSAT-00419,ORD-00525,CUST-01662,2025-05-07,2,Delivery Speed,Worst delivery experience I've ever had.
CSAT-00420,ORD-00649,CUST-01683,2025-06-14,2,Delivery Speed,Heavy item was left at the wrong address initially.
CSAT-00421,ORD-01892,CUST-01225,2025-05-11,9,None,Happy customer. Will order again.
CSAT-00422,ORD-02138,CUST-00160,2025-06-15,5,Customer Service,
CSAT-00423,ORD-01655,CUST-00990,2025-04-18,5,None,The item broke within a week of use.
CSAT-00424,ORD-01340,CUST-01764,2025-04-23,9,None,Happy customer. Will order again.
CSAT-00425,ORD-00929,CUST-01133,2025-06-27,6,Delivery Speed,Wrong color sent. Had to return.
CSAT-00426,ORD-01248,CUST-01480,2025-07-11,2,Delivery Speed,I had to rearrange my schedule three times for this delivery.
CSAT-00427,ORD-00999,CUST-01093,2025-05-31,5,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00428,ORD-02826,CUST-00896,2025-05-07,6,None,
CSAT-00429,ORD-02255,CUST-01635,2025-04-24,9,Packaging,
CSAT-00430,ORD-01608,CUST-01454,2025-04-25,10,None,Love it! Shipping was quick.
CSAT-00431,ORD-02871,CUST-01694,2025-05-04,7,Packaging,Product exceeded my expectations.
CSAT-00432,ORD-01505,CUST-01352,2025-04-20,9,None,Good experience overall.
CSAT-00433,ORD-01445,CUST-01221,2025-06-12,9,None,Love it! Shipping was quick.
CSAT-00434,ORD-02100,CUST-00805,2025-06-15,4,Packaging,Not worth the price. Feels cheaply made.
CSAT-00435,ORD-00229,CUST-01552,2025-06-24,7,None,Good experience overall.
CSAT-00436,ORD-01501,CUST-00866,2025-05-14,6,Product Quality,Took a few extra days but the product is okay.
CSAT-00437,ORD-00416,CUST-01268,2025-06-10,7,None,
CSAT-00438,ORD-02600,CUST-00046,2025-06-18,9,None,"Great product, arrived on time!"
CSAT-00439,ORD-01090,CUST-00031,2025-05-10,9,None,Fast shipping and good quality.
CSAT-00440,ORD-02486,CUST-01729,2025-06-17,1,Packaging,Expected better quality for the price.
CSAT-00441,ORD-01165,CUST-01790,2025-07-17,3,Delivery Speed,Package arrived two weeks late with no explanation.
CSAT-00442,ORD-02170,CUST-00836,2025-05-25,7,None,"Great product, arrived on time!"
CSAT-00443,ORD-02585,CUST-00583,2025-05-09,9,None,
CSAT-00444,ORD-02593,CUST-01088,2025-06-13,4,Packaging,Product quality was not what I expected.
CSAT-00445,ORD-01378,CUST-00106,2025-05-03,7,None,Smooth ordering process and fast delivery.
CSAT-00446,ORD-01956,CUST-00994,2025-06-14,3,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00447,ORD-02352,CUST-01039,2025-05-16,7,None,Smooth ordering process and fast delivery.
CSAT-00448,ORD-00092,CUST-00965,2025-05-16,2,Delivery Speed,My furniture arrived with visible damage from shipping.
CSAT-00449,ORD-02931,CUST-01239,2025-05-19,4,Product Quality,Not worth the price. Feels cheaply made.
CSAT-00450,ORD-01094,CUST-00306,2025-04-22,8,Packaging,
CSAT-00451,ORD-01840,CUST-01079,2025-05-03,9,None,Very happy with my purchase.
CSAT-00452,ORD-02743,CUST-01727,2025-05-03,6,None,Packaging was minimal — item rattled around in the box.
CSAT-00453,ORD-01146,CUST-00307,2025-04-24,8,None,Fast shipping and good quality.
CSAT-00454,ORD-02427,CUST-00557,2025-06-09,7,None,
CSAT-00455,ORD-02561,CUST-01455,2025-06-08,7,None,Happy customer. Will order again.
CSAT-00456,ORD-02457,CUST-00236,2025-06-25,5,Delivery Speed,Customer service was unhelpful when I called about my order.
CSAT-00457,ORD-00842,CUST-01218,2025-05-28,8,None,Product exceeded my expectations.
CSAT-00458,ORD-01708,CUST-01470,2025-04-08,7,None,Fast shipping and good quality.
CSAT-00459,ORD-01260,CUST-01674,2025-05-07,7,None,Good experience overall.
CSAT-00460,ORD-01447,CUST-01388,2025-04-21,8,None,Love it! Shipping was quick.
CSAT-00461,ORD-00093,CUST-00350,2025-06-03,6,Product Quality,
CSAT-00462,ORD-02031,CUST-01577,2025-07-06,5,Delivery Speed,
CSAT-00463,ORD-01346,CUST-01710,2025-05-17,10,None,
CSAT-00464,ORD-02123,CUST-01037,2025-04-22,8,None,"Great product, arrived on time!"
CSAT-00465,ORD-01837,CUST-00048,2025-06-08,6,Delivery Speed,
CSAT-00466,ORD-00827,CUST-00460,2025-06-26,5,None,
CSAT-00467,ORD-01799,CUST-01486,2025-05-08,9,Product Quality,Smooth ordering process and fast delivery.
CSAT-00468,ORD-02429,CUST-01089,2025-07-08,4,Packaging,Expected better quality for the price.
CSAT-00469,ORD-00067,CUST-00238,2025-06-18,5,Delivery Speed,
CSAT-00470,ORD-02480,CUST-01261,2025-06-28,10,None,
CSAT-00471,ORD-01703,CUST-00285,2025-05-09,7,None,Smooth ordering process and fast delivery.
CSAT-00472,ORD-01738,CUST-00839,2025-06-08,7,None,Exactly what I needed. Would buy again.
CSAT-00473,ORD-01338,CUST-00215,2025-06-06,5,Customer Service,Packaging was minimal — item rattled around in the box.
CSAT-00474,ORD-02291,CUST-01685,2025-04-21,10,None,Smooth ordering process and fast delivery.
CSAT-00475,ORD-02599,CUST-00243,2025-06-24,3,Customer Service,The item broke within a week of use.
CSAT-00476,ORD-02523,CUST-01273,2025-06-16,8,None,Fast shipping and good quality.
CSAT-00477,ORD-02971,CUST-00584,2025-04-19,10,None,
CSAT-00478,ORD-02424,CUST-01433,2025-05-27,2,Delivery Speed,Product was fine but the shipping delay ruined my plans.
CSAT-00479,ORD-00442,CUST-00398,2025-05-02,1,Delivery Speed,Took forever to arrive and packaging was torn open.
CSAT-00480,ORD-02790,CUST-01651,2025-05-22,9,None,Love it! Shipping was quick.
CSAT-00481,ORD-01459,CUST-00865,2025-05-02,7,None,Very happy with my purchase.
CSAT-00482,ORD-01668,CUST-00846,2025-05-18,8,None,
CSAT-00483,ORD-01905,CUST-01465,2025-06-15,5,Packaging,Expected better quality for the price.
CSAT-00484,ORD-01894,CUST-01048,2025-04-23,5,None,Not worth the price. Feels cheaply made.
CSAT-00485,ORD-00576,CUST-00292,2025-04-20,9,None,
CSAT-00486,ORD-01421,CUST-00611,2025-05-22,3,Packaging,Expected better quality for the price.
CSAT-00487,ORD-00021,CUST-01772,2025-06-24,7,None,Product exceeded my expectations.
CSAT-00488,ORD-00481,CUST-01196,2025-06-13,6,Packaging,The item broke within a week of use.
CSAT-00489,ORD-02906,CUST-01181,2025-07-08,3,Packaging,Packaging was minimal — item rattled around in the box.
CSAT-00490,ORD-00450,CUST-01521,2025-06-20,6,None,Took a few extra days but the product is okay.
CSAT-00491,ORD-01497,CUST-00599,2025-05-03,10,None,"Great product, arrived on time!"
CSAT-00492,ORD-00448,CUST-00250,2025-07-03,4,Packaging,Took a few extra days but the product is okay.
CSAT-00493,ORD-02050,CUST-01574,2025-07-08,4,Packaging,Customer service was unhelpful when I called about my order.
CSAT-00494,ORD-01480,CUST-00829,2025-06-10,9,None,Happy customer. Will order again.
CSAT-00495,ORD-00803,CUST-01772,2025-04-21,7,None,Exactly what I needed. Would buy again.
CSAT-00496,ORD-01650,CUST-00664,2025-07-04,5,Packaging,
CSAT-00497,ORD-01202,CUST-00398,2025-05-18,10,None,"Great product, arrived on time!"
CSAT-00498,ORD-01388,CUST-00754,2025-06-11,5,Delivery Speed,
CSAT-00499,ORD-00931,CUST-00543,2025-06-14,7,None,Excellent value for the money.
CSAT-00500,ORD-01915,CUST-01744,2025-05-12,8,Packaging,"Great product, arrived on time!"
CSAT-00501,ORD-00627,CUST-00650,2025-05-23,8,None,Happy customer. Will order again.
CSAT-00502,ORD-00824,CUST-01054,2025-06-30,5,Packaging,
CSAT-00503,ORD-02708,CUST-00153,2025-04-23,9,None,Good experience overall.
CSAT-00504,ORD-02940,CUST-00826,2025-05-11,7,None,Very happy with my purchase.
CSAT-00505,ORD-00087,CUST-00179,2025-06-11,8,None,
CSAT-00506,ORD-00032,CUST-00612,2025-04-17,9,Product Quality,
CSAT-00507,ORD-00059,CUST-00998,2025-05-03,8,None,Good experience overall.
CSAT-00508,ORD-01561,CUST-00367,2025-04-14,7,None,Product exceeded my expectations.
CSAT-00509,ORD-02153,CUST-00173,2025-05-21,9,None,Happy customer. Will order again.
CSAT-00510,ORD-00575,CUST-00278,2025-05-29,10,None,"Great product, arrived on time!"
CSAT-00511,ORD-01382,CUST-01733,2025-07-07,1,Delivery Speed,Expected better quality for the price.
CSAT-00512,ORD-00598,CUST-00479,2025-07-10,6,Packaging,Not worth the price. Feels cheaply made.
CSAT-00513,ORD-01824,CUST-00857,2025-04-20,9,None,
CSAT-00514,ORD-01297,CUST-00251,2025-04-26,8,Product Quality,Product exceeded my expectations.
CSAT-00515,ORD-00501,CUST-01388,2025-07-11,7,None,"Great product, arrived on time!"
CSAT-00516,ORD-01287,CUST-00421,2025-04-28,7,None,
CSAT-00517,ORD-00736,CUST-01540,2025-05-31,9,None,Fast shipping and good quality.
CSAT-00518,ORD-02037,CUST-00882,2025-05-24,9,None,
CSAT-00519,ORD-02852,CUST-00932,2025-04-13,9,None,Product exceeded my expectations.
CSAT-00520,ORD-01812,CUST-00456,2025-06-20,8,None,Exactly what I needed. Would buy again.
CSAT-00521,ORD-02690,CUST-00150,2025-04-28,8,None,Fast shipping and good quality.
CSAT-00522,ORD-00038,CUST-00313,2025-04-25,8,None,Exactly what I needed. Would buy again.
CSAT-00523,ORD-02210,CUST-01341,2025-05-02,7,None,Happy customer. Will order again.
CSAT-00524,ORD-01315,CUST-01314,2025-07-08,5,None,The item broke within a week of use.
CSAT-00525,ORD-00893,CUST-00221,2025-05-13,9,None,Exactly what I needed. Would buy again.
CSAT-00526,ORD-01017,CUST-01357,2025-05-13,8,None,Excellent value for the money.
CSAT-00527,ORD-01006,CUST-01602,2025-05-03,6,None,
CSAT-00528,ORD-02922,CUST-00938,2025-05-14,9,None,Product exceeded my expectations.
CSAT-00529,ORD-00376,CUST-01624,2025-07-12,8,None,Good experience overall.
CSAT-00530,ORD-00796,CUST-01284,2025-04-14,10,None,
CSAT-00531,ORD-00325,CUST-00376,2025-06-01,5,Delivery Speed,Packaging was minimal — item rattled around in the box.
CSAT-00532,ORD-00592,CUST-00608,2025-06-18,5,None,Wrong color sent. Had to return.
CSAT-00533,ORD-01175,CUST-01526,2025-07-06,8,None,Fast shipping and good quality.
CSAT-00534,ORD-02868,CUST-00991,2025-05-20,5,Packaging,Expected better quality for the price.
CSAT-00535,ORD-02257,CUST-00341,2025-05-12,8,Product Quality,Excellent value for the money.
CSAT-00536,ORD-01972,CUST-01594,2025-04-23,9,None,
CSAT-00537,ORD-00180,CUST-00219,2025-04-27,8,None,Very happy with my purchase.
CSAT-00538,ORD-00707,CUST-01082,2025-05-13,10,None,Exactly what I needed. Would buy again.
CSAT-00539,ORD-00161,CUST-01616,2025-04-14,8,None,Excellent value for the money.
CSAT-00540,ORD-01889,CUST-01071,2025-04-30,5,None,The item broke within a week of use.
CSAT-00541,ORD-00925,CUST-01080,2025-06-27,7,None,Very happy with my purchase.
CSAT-00542,ORD-00194,CUST-01394,2025-05-04,8,None,Very happy with my purchase.
CSAT-00543,ORD-00485,CUST-01156,2025-06-10,6,None,Customer service was unhelpful when I called about my order.
CSAT-00544,ORD-02776,CUST-00263,2025-07-13,5,Packaging,
CSAT-00545,ORD-02835,CUST-00796,2025-06-26,7,None,"Great product, arrived on time!"
CSAT-00546,ORD-01334,CUST-00773,2025-05-04,9,None,
CSAT-00547,ORD-00605,CUST-01677,2025-04-14,8,Packaging,
CSAT-00548,ORD-01491,CUST-01090,2025-07-11,7,None,Excellent value for the money.
CSAT-00549,ORD-01161,CUST-00905,2025-06-08,5,None,Expected better quality for the price.
CSAT-00550,ORD-01554,CUST-00492,2025-04-24,6,None,Expected better quality for the price.
CSAT-00551,ORD-02806,CUST-00059,2025-04-24,6,None,Expected better quality for the price.
CSAT-00552,ORD-00489,CUST-01397,2025-06-03,8,None,Happy customer. Will order again.
CSAT-00553,ORD-00006,CUST-01791,2025-07-09,6,Delivery Speed,Customer service was unhelpful when I called about my order.
CSAT-00554,ORD-00782,CUST-01385,2025-06-19,1,Delivery Speed,The package was supposed to arrive last week. Still waiting.
CSAT-00555,ORD-01309,CUST-00656,2025-04-10,10,Product Quality,Good experience overall.
CSAT-00556,ORD-01871,CUST-00920,2025-06-25,7,None,Smooth ordering process and fast delivery.
CSAT-00557,ORD-02784,CUST-01199,2025-05-29,6,None,
CSAT-00558,ORD-00181,CUST-00643,2025-06-28,6,Customer Service,Wrong color sent. Had to return.
CSAT-00559,ORD-02229,CUST-01796,2025-04-13,9,None,Exactly what I needed. Would buy again.
CSAT-00560,ORD-01914,CUST-00220,2025-07-02,4,Product Quality,Took a few extra days but the product is okay.
CSAT-00561,ORD-00570,CUST-00678,2025-07-02,6,Product Quality,Wrong color sent. Had to return.
CSAT-00562,ORD-01910,CUST-00595,2025-05-24,1,Delivery Speed,Worst delivery experience I've ever had.
CSAT-00563,ORD-02105,CUST-00386,2025-05-11,9,None,Love it! Shipping was quick.
CSAT-00564,ORD-01528,CUST-01234,2025-05-14,2,Packaging,Took a few extra days but the product is okay.
CSAT-00565,ORD-01311,CUST-00730,2025-04-16,9,Packaging,
CSAT-00566,ORD-01782,CUST-01369,2025-05-03,7,None,Very happy with my purchase.
CSAT-00567,ORD-01052,CUST-00002,2025-04-18,5,None,
CSAT-00568,ORD-02738,CUST-00716,2025-07-02,2,Product Quality,Customer service was unhelpful when I called about my order.
CSAT-00569,ORD-02788,CUST-00838,2025-07-12,2,Product Quality,Expected better quality for the price.
CSAT-00570,ORD-02332,CUST-00570,2025-04-28,8,None,Happy customer. Will order again.
CSAT-00571,ORD-00526,CUST-01624,2025-04-22,7,None,Fast shipping and good quality.
CSAT-00572,ORD-01015,CUST-00782,2025-07-08,6,Delivery Speed,The item broke within a week of use.
CSAT-00573,ORD-00350,CUST-00853,2025-05-08,7,None,
CSAT-00574,ORD-01430,CUST-00250,2025-07-11,2,Packaging,Delivery was 2 weeks late and the item was damaged.
CSAT-00575,ORD-01921,CUST-00481,2025-05-16,6,None,Packaging was minimal — item rattled around in the box.
CSAT-00576,ORD-01957,CUST-01246,2025-07-03,7,None,Product exceeded my expectations.
CSAT-00577,ORD-02304,CUST-00245,2025-05-29,2,Delivery Speed,Package arrived two weeks late with no explanation.
CSAT-00578,ORD-00019,CUST-00064,2025-04-26,8,None,Happy customer. Will order again.
CSAT-00579,ORD-00820,CUST-00174,2025-05-10,10,None,Fast shipping and good quality.
CSAT-00580,ORD-01697,CUST-01257,2025-06-06,5,Product Quality,Wrong color sent. Had to return.
CSAT-00581,ORD-01804,CUST-00149,2025-07-07,2,Delivery Speed,Heavy item was left at the wrong address initially.
CSAT-00582,ORD-01542,CUST-00052,2025-06-14,5,Packaging,
CSAT-00583,ORD-01348,CUST-01607,2025-04-29,8,None,Love it! Shipping was quick.
CSAT-00584,ORD-00469,CUST-00645,2025-06-30,5,None,Expected better quality for the price.
CSAT-00585,ORD-00014,CUST-00649,2025-06-24,6,Product Quality,Wrong color sent. Had to return.
CSAT-00586,ORD-00679,CUST-01732,2025-06-04,7,None,Very happy with my purchase.
CSAT-00587,ORD-00960,CUST-00021,2025-05-25,7,None,
CSAT-00588,ORD-01938,CUST-00434,2025-04-21,9,None,Exactly what I needed. Would buy again.
CSAT-00589,ORD-00652,CUST-00711,2025-07-10,1,Product Quality,The item broke within a week of use.
CSAT-00590,ORD-02099,CUST-00209,2025-07-01,3,Customer Service,Product quality was not what I expected.
CSAT-00591,ORD-01210,CUST-01227,2025-06-17,7,None,
CSAT-00592,ORD-02161,CUST-00365,2025-05-29,9,None,Product exceeded my expectations.
CSAT-00593,ORD-01113,CUST-01337,2025-05-01,6,None,Took a few extra days but the product is okay.
CSAT-00594,ORD-01219,CUST-01017,2025-05-06,7,Packaging,Happy customer. Will order again.
CSAT-00595,ORD-01750,CUST-00638,2025-07-09,2,Packaging,Item showed up late and the box was crushed.
CSAT-00596,ORD-02620,CUST-00745,2025-06-01,7,None,Happy customer. Will order again.
CSAT-00597,ORD-00723,CUST-00702,2025-06-22,4,Packaging,The item broke within a week of use.
CSAT-00598,ORD-01673,CUST-00959,2025-05-10,6,None,Wrong color sent. Had to return.
CSAT-00599,ORD-00188,CUST-00592,2025-05-29,5,Product Quality,
CSAT-00600,ORD-02625,CUST-00855,2025-05-30,7,None,Excellent value for the money.
CSAT-00601,ORD-01223,CUST-01714,2025-05-31,8,Product Quality,Fast shipping and good quality.
CSAT-00602,ORD-01214,CUST-00299,2025-05-04,6,None,
CSAT-00603,ORD-01056,CUST-01020,2025-04-12,9,Product Quality,
CSAT-00604,ORD-02127,CUST-01078,2025-04-19,7,None,Smooth ordering process and fast delivery.
CSAT-00605,ORD-02603,CUST-01520,2025-07-04,7,None,Very happy with my purchase.
CSAT-00606,ORD-01082,CUST-01154,2025-04-20,4,Product Quality,Product quality was not what I expected.
CSAT-00607,ORD-02618,CUST-00809,2025-06-20,4,Product Quality,Packaging was minimal — item rattled around in the box.
CSAT-00608,ORD-00100,CUST-01079,2025-07-21,3,Delivery Speed,Took forever to arrive and packaging was torn open.
CSAT-00609,ORD-02362,CUST-00631,2025-04-22,4,Delivery Speed,Took a few extra days but the product is okay.
CSAT-00610,ORD-02107,CUST-00017,2025-06-13,6,Delivery Speed,Not worth the price. Feels cheaply made.
CSAT-00611,ORD-00922,CUST-01247,2025-06-14,5,Delivery Speed,Not worth the price. Feels cheaply made.
