budget_line_id,fiscal_month,fiscal_quarter,fiscal_year,department,cost_center_id,budget_category,budget_amount_usd,actual_amount_usd
BL-00313,2025-05,Q2 2025,FY2025,Operations,CC-155,Facilities,18000,18258.19
BL-00314,2025-05,Q2 2025,FY2025,IT,CC-159,Compensation,200000,190807.22
BL-00315,2025-05,Q2 2025,FY2025,IT,CC-160,Benefits,40000,42950.49
BL-00316,2025-05,Q2 2025,FY2025,IT,CC-156,Software,55000,52754.45
BL-00317,2025-05,Q2 2025,FY2025,IT,CC-161,Equipment,35000,36172.17
BL-00318,2025-05,Q2 2025,FY2025,IT,CC-156,Facilities,30000,29334.85
BL-00319,2025-05,Q2 2025,FY2025,IT,CC-162,Professional Services,15000,15411.4
BL-00320,2025-05,Q2 2025,FY2025,IT,CC-159,Training,8000,8127.81
BL-00321,2025-05,Q2 2025,FY2025,Executive,CC-165,Compensation,150000,151452.96
BL-00322,2025-05,Q2 2025,FY2025,Executive,CC-164,Benefits,30000,30635.37
BL-00323,2025-05,Q2 2025,FY2025,Executive,CC-166,Travel,20000,19477.44
BL-00324,2025-05,Q2 2025,FY2025,Executive,CC-165,Professional Services,10000,10076.45
BL-00325,2025-05,Q2 2025,FY2025,Executive,CC-165,Facilities,8000,8005.72
BL-00326,2025-06,Q2 2025,FY2025,Engineering,CC-106,Compensation,420000,396205.97
BL-00327,2025-06,Q2 2025,FY2025,Engineering,CC-104,Benefits,84000,84434.02
BL-00328,2025-06,Q2 2025,FY2025,Engineering,CC-100,Software,65000,65189.91
BL-00329,2025-06,Q2 2025,FY2025,Engineering,CC-105,Equipment,30000,30835.33
BL-00330,2025-06,Q2 2025,FY2025,Engineering,CC-100,Travel,15000,14999.76
BL-00331,2025-06,Q2 2025,FY2025,Engineering,CC-106,Training,12000,12101.96
BL-00332,2025-06,Q2 2025,FY2025,Engineering,CC-100,Facilities,25000,23931.55
BL-00333,2025-06,Q2 2025,FY2025,Sales,CC-107,Compensation,380000,387224.27
BL-00334,2025-06,Q2 2025,FY2025,Sales,CC-111,Benefits,76000,75526.64
BL-00335,2025-06,Q2 2025,FY2025,Sales,CC-112,Travel,45000,45403.67
BL-00336,2025-06,Q2 2025,FY2025,Sales,CC-107,Software,25000,25318.59
BL-00337,2025-06,Q2 2025,FY2025,Sales,CC-112,Training,18000,17651.52
BL-00338,2025-06,Q2 2025,FY2025,Sales,CC-109,Professional Services,15000,14876.56
BL-00339,2025-06,Q2 2025,FY2025,Sales,CC-111,Equipment,10000,10019.27
BL-00340,2025-06,Q2 2025,FY2025,Marketing,CC-119,Compensation,210000,206203.17
BL-00341,2025-06,Q2 2025,FY2025,Marketing,CC-115,Benefits,42000,41568.36
BL-00342,2025-06,Q2 2025,FY2025,Marketing,CC-116,Software,35000,33214.71
BL-00343,2025-06,Q2 2025,FY2025,Marketing,CC-116,Travel,25000,25133.11
BL-00344,2025-06,Q2 2025,FY2025,Marketing,CC-118,Professional Services,40000,40171.94
BL-00345,2025-06,Q2 2025,FY2025,Marketing,CC-117,Training,10000,9666.81
BL-00346,2025-06,Q2 2025,FY2025,Marketing,CC-119,Facilities,15000,13982.27
BL-00347,2025-06,Q2 2025,FY2025,Finance,CC-127,Compensation,160000,162050.46
BL-00348,2025-06,Q2 2025,FY2025,Finance,CC-126,Benefits,32000,33218.47
BL-00349,2025-06,Q2 2025,FY2025,Finance,CC-123,Software,20000,20041.65
BL-00350,2025-06,Q2 2025,FY2025,Finance,CC-127,Professional Services,25000,26158.14
BL-00351,2025-06,Q2 2025,FY2025,Finance,CC-127,Training,8000,7825.66
BL-00352,2025-06,Q2 2025,FY2025,Finance,CC-125,Facilities,12000,11403.31
BL-00353,2025-06,Q2 2025,FY2025,HR,CC-131,Compensation,120000,120677.01
BL-00354,2025-06,Q2 2025,FY2025,HR,CC-133,Benefits,24000,23348.96
BL-00355,2025-06,Q2 2025,FY2025,HR,CC-130,Software,15000,14632.78
BL-00356,2025-06,Q2 2025,FY2025,HR,CC-128,Professional Services,18000,18465.89
BL-00357,2025-06,Q2 2025,FY2025,HR,CC-128,Training,10000,10326.59
BL-00358,2025-06,Q2 2025,FY2025,HR,CC-131,Facilities,10000,9547.95
BL-00359,2025-06,Q2 2025,FY2025,Legal,CC-141,Compensation,140000,145787.52
BL-00360,2025-06,Q2 2025,FY2025,Legal,CC-138,Benefits,28000,27708.9
BL-00361,2025-06,Q2 2025,FY2025,Legal,CC-140,Professional Services,35000,34702.41
BL-00362,2025-06,Q2 2025,FY2025,Legal,CC-139,Software,10000,9690.66
BL-00363,2025-06,Q2 2025,FY2025,Legal,CC-141,Travel,5000,5116.24
BL-00364,2025-06,Q2 2025,FY2025,Legal,CC-139,Facilities,8000,7959.01
BL-00365,2025-06,Q2 2025,FY2025,Product,CC-148,Compensation,250000,251293.34
BL-00366,2025-06,Q2 2025,FY2025,Product,CC-147,Benefits,50000,48342.67
BL-00367,2025-06,Q2 2025,FY2025,Product,CC-143,Software,40000,39115.18
BL-00368,2025-06,Q2 2025,FY2025,Product,CC-148,Travel,12000,11825.7
BL-00369,2025-06,Q2 2025,FY2025,Product,CC-145,Equipment,15000,15333.65
BL-00370,2025-06,Q2 2025,FY2025,Product,CC-143,Training,10000,9903.12
BL-00371,2025-06,Q2 2025,FY2025,Product,CC-147,Facilities,15000,15001.75
BL-00372,2025-06,Q2 2025,FY2025,Operations,CC-152,Compensation,180000,172985.76
BL-00373,2025-06,Q2 2025,FY2025,Operations,CC-151,Benefits,36000,35348.51
BL-00374,2025-06,Q2 2025,FY2025,Operations,CC-150,Equipment,25000,25749.91
BL-00375,2025-06,Q2 2025,FY2025,Operations,CC-151,Software,18000,17496.0
BL-00376,2025-06,Q2 2025,FY2025,Operations,CC-151,Travel,10000,10021.95
BL-00377,2025-06,Q2 2025,FY2025,Operations,CC-151,Professional Services,12000,11910.18
BL-00378,2025-06,Q2 2025,FY2025,Operations,CC-153,Facilities,18000,18714.6
BL-00379,2025-06,Q2 2025,FY2025,IT,CC-156,Compensation,200000,214563.32
BL-00380,2025-06,Q2 2025,FY2025,IT,CC-157,Benefits,40000,40186.03
BL-00381,2025-06,Q2 2025,FY2025,IT,CC-162,Software,55000,54642.83
BL-00382,2025-06,Q2 2025,FY2025,IT,CC-157,Equipment,35000,33805.46
BL-00383,2025-06,Q2 2025,FY2025,IT,CC-159,Facilities,30000,29527.21
BL-00384,2025-06,Q2 2025,FY2025,IT,CC-159,Professional Services,15000,14396.19
BL-00385,2025-06,Q2 2025,FY2025,IT,CC-157,Training,8000,8028.27
BL-00386,2025-06,Q2 2025,FY2025,Executive,CC-166,Compensation,150000,148083.03
BL-00387,2025-06,Q2 2025,FY2025,Executive,CC-167,Benefits,30000,29724.75
BL-00388,2025-06,Q2 2025,FY2025,Executive,CC-165,Travel,20000,19520.89
BL-00389,2025-06,Q2 2025,FY2025,Executive,CC-166,Professional Services,10000,9636.07
BL-00390,2025-06,Q2 2025,FY2025,Executive,CC-168,Facilities,8000,8049.38
BL-00391,2025-07,Q3 2025,FY2025,Engineering,CC-102,Compensation,420000,440801.5
BL-00392,2025-07,Q3 2025,FY2025,Engineering,CC-100,Benefits,84000,87437.55
BL-00393,2025-07,Q3 2025,FY2025,Engineering,CC-105,Software,65000,64695.29
BL-00394,2025-07,Q3 2025,FY2025,Engineering,CC-104,Equipment,30000,29229.01
BL-00395,2025-07,Q3 2025,FY2025,Engineering,CC-101,Travel,15000,15656.32
BL-00396,2025-07,Q3 2025,FY2025,Engineering,CC-101,Training,12000,11832.59
BL-00397,2025-07,Q3 2025,FY2025,Engineering,CC-104,Facilities,25000,24956.83
BL-00398,2025-07,Q3 2025,FY2025,Sales,CC-111,Compensation,380000,407589.72
BL-00399,2025-07,Q3 2025,FY2025,Sales,CC-109,Benefits,76000,75934.93
BL-00400,2025-07,Q3 2025,FY2025,Sales,CC-108,Travel,45000,42835.36
BL-00401,2025-07,Q3 2025,FY2025,Sales,CC-112,Software,25000,24591.68
BL-00402,2025-07,Q3 2025,FY2025,Sales,CC-111,Training,18000,18351.39
BL-00403,2025-07,Q3 2025,FY2025,Sales,CC-107,Professional Services,15000,15096.15
BL-00404,2025-07,Q3 2025,FY2025,Sales,CC-111,Equipment,10000,10065.39
BL-00405,2025-07,Q3 2025,FY2025,Marketing,CC-120,Compensation,210000,223660.33
BL-00406,2025-07,Q3 2025,FY2025,Marketing,CC-120,Benefits,42000,47599.51
BL-00407,2025-07,Q3 2025,FY2025,Marketing,CC-117,Software,35000,35856.33
BL-00408,2025-07,Q3 2025,FY2025,Marketing,CC-117,Travel,25000,25047.23
BL-00409,2025-07,Q3 2025,FY2025,Marketing,CC-116,Professional Services,40000,38319.86
BL-00410,2025-07,Q3 2025,FY2025,Marketing,CC-120,Training,10000,10655.42
BL-00411,2025-07,Q3 2025,FY2025,Marketing,CC-117,Facilities,15000,14171.94
BL-00412,2025-07,Q3 2025,FY2025,Finance,CC-125,Compensation,160000,174090.39
BL-00413,2025-07,Q3 2025,FY2025,Finance,CC-125,Benefits,32000,33241.95
BL-00414,2025-07,Q3 2025,FY2025,Finance,CC-123,Software,20000,19855.28
BL-00415,2025-07,Q3 2025,FY2025,Finance,CC-125,Professional Services,25000,25487.29
BL-00416,2025-07,Q3 2025,FY2025,Finance,CC-127,Training,8000,8092.46
BL-00417,2025-07,Q3 2025,FY2025,Finance,CC-125,Facilities,12000,11580.93
BL-00418,2025-07,Q3 2025,FY2025,HR,CC-132,Compensation,120000,130888.36
BL-00419,2025-07,Q3 2025,FY2025,HR,CC-132,Benefits,24000,24035.34
BL-00420,2025-07,Q3 2025,FY2025,HR,CC-131,Software,15000,15671.99
BL-00421,2025-07,Q3 2025,FY2025,HR,CC-132,Professional Services,18000,17743.5
BL-00422,2025-07,Q3 2025,FY2025,HR,CC-133,Training,10000,10392.87
BL-00423,2025-07,Q3 2025,FY2025,HR,CC-133,Facilities,10000,10413.12
BL-00424,2025-07,Q3 2025,FY2025,Legal,CC-140,Compensation,140000,154026.09
BL-00425,2025-07,Q3 2025,FY2025,Legal,CC-136,Benefits,28000,30314.85
BL-00426,2025-07,Q3 2025,FY2025,Legal,CC-135,Professional Services,35000,35379.71
BL-00427,2025-07,Q3 2025,FY2025,Legal,CC-138,Software,10000,9614.97
BL-00428,2025-07,Q3 2025,FY2025,Legal,CC-137,Travel,5000,5124.7
BL-00429,2025-07,Q3 2025,FY2025,Legal,CC-137,Facilities,8000,8193.71
BL-00430,2025-07,Q3 2025,FY2025,Product,CC-145,Compensation,250000,273400.0
BL-00431,2025-07,Q3 2025,FY2025,Product,CC-148,Benefits,50000,53565.13
BL-00432,2025-07,Q3 2025,FY2025,Product,CC-147,Software,40000,40378.4
BL-00433,2025-07,Q3 2025,FY2025,Product,CC-143,Travel,12000,11450.87
BL-00434,2025-07,Q3 2025,FY2025,Product,CC-145,Equipment,15000,14565.66
BL-00435,2025-07,Q3 2025,FY2025,Product,CC-143,Training,10000,10160.79
BL-00436,2025-07,Q3 2025,FY2025,Product,CC-144,Facilities,15000,15212.04
BL-00437,2025-07,Q3 2025,FY2025,Operations,CC-151,Compensation,180000,193021.41
BL-00438,2025-07,Q3 2025,FY2025,Operations,CC-155,Benefits,36000,37904.89
BL-00439,2025-07,Q3 2025,FY2025,Operations,CC-149,Equipment,25000,24438.65
BL-00440,2025-07,Q3 2025,FY2025,Operations,CC-152,Software,18000,17812.26
BL-00441,2025-07,Q3 2025,FY2025,Operations,CC-151,Travel,10000,9825.1
BL-00442,2025-07,Q3 2025,FY2025,Operations,CC-153,Professional Services,12000,11482.51
BL-00443,2025-07,Q3 2025,FY2025,Operations,CC-153,Facilities,18000,17438.69
BL-00444,2025-07,Q3 2025,FY2025,IT,CC-159,Compensation,200000,210619.73
BL-00445,2025-07,Q3 2025,FY2025,IT,CC-157,Benefits,40000,41476.47
BL-00446,2025-07,Q3 2025,FY2025,IT,CC-161,Software,55000,52765.6
BL-00447,2025-07,Q3 2025,FY2025,IT,CC-156,Equipment,35000,35706.51
BL-00448,2025-07,Q3 2025,FY2025,IT,CC-162,Facilities,30000,28989.95
BL-00449,2025-07,Q3 2025,FY2025,IT,CC-156,Professional Services,15000,14832.69
BL-00450,2025-07,Q3 2025,FY2025,IT,CC-162,Training,8000,7832.03
BL-00451,2025-07,Q3 2025,FY2025,Executive,CC-165,Compensation,150000,163126.08
BL-00452,2025-07,Q3 2025,FY2025,Executive,CC-167,Benefits,30000,30355.74
BL-00453,2025-07,Q3 2025,FY2025,Executive,CC-163,Travel,20000,18987.22
BL-00454,2025-07,Q3 2025,FY2025,Executive,CC-166,Professional Services,10000,10215.8
BL-00455,2025-07,Q3 2025,FY2025,Executive,CC-168,Facilities,8000,7875.22
BL-00456,2025-08,Q3 2025,FY2025,Engineering,CC-101,Compensation,420000,456815.64
BL-00457,2025-08,Q3 2025,FY2025,Engineering,CC-103,Benefits,84000,86369.13
BL-00458,2025-08,Q3 2025,FY2025,Engineering,CC-106,Software,65000,67630.34
BL-00459,2025-08,Q3 2025,FY2025,Engineering,CC-100,Equipment,30000,30016.22
BL-00460,2025-08,Q3 2025,FY2025,Engineering,CC-102,Travel,15000,14877.22
BL-00461,2025-08,Q3 2025,FY2025,Engineering,CC-106,Training,12000,11997.31
BL-00462,2025-08,Q3 2025,FY2025,Engineering,CC-103,Facilities,25000,25372.26
BL-00463,2025-08,Q3 2025,FY2025,Sales,CC-113,Compensation,380000,417727.13
BL-00464,2025-08,Q3 2025,FY2025,Sales,CC-110,Benefits,76000,77298.02
BL-00465,2025-08,Q3 2025,FY2025,Sales,CC-111,Travel,45000,46538.28
BL-00466,2025-08,Q3 2025,FY2025,Sales,CC-113,Software,25000,25302.86
BL-00467,2025-08,Q3 2025,FY2025,Sales,CC-107,Training,18000,17416.69
BL-00468,2025-08,Q3 2025,FY2025,Sales,CC-108,Professional Services,15000,15004.6
BL-00469,2025-08,Q3 2025,FY2025,Sales,CC-109,Equipment,10000,9982.99
BL-00470,2025-08,Q3 2025,FY2025,Marketing,CC-119,Compensation,210000,229857.1
BL-00471,2025-08,Q3 2025,FY2025,Marketing,CC-120,Benefits,42000,44415.07
BL-00472,2025-08,Q3 2025,FY2025,Marketing,CC-115,Software,35000,35024.38
BL-00473,2025-08,Q3 2025,FY2025,Marketing,CC-114,Travel,25000,24838.23
BL-00474,2025-08,Q3 2025,FY2025,Marketing,CC-118,Professional Services,40000,38997.6
BL-00475,2025-08,Q3 2025,FY2025,Marketing,CC-120,Training,10000,9820.75
BL-00476,2025-08,Q3 2025,FY2025,Marketing,CC-114,Facilities,15000,15175.44
BL-00477,2025-08,Q3 2025,FY2025,Finance,CC-124,Compensation,160000,172378.86
BL-00478,2025-08,Q3 2025,FY2025,Finance,CC-123,Benefits,32000,34597.81
BL-00479,2025-08,Q3 2025,FY2025,Finance,CC-127,Software,20000,19521.19
BL-00480,2025-08,Q3 2025,FY2025,Finance,CC-124,Professional Services,25000,24966.6
BL-00481,2025-08,Q3 2025,FY2025,Finance,CC-125,Training,8000,8178.01
BL-00482,2025-08,Q3 2025,FY2025,Finance,CC-122,Facilities,12000,11966.68
BL-00483,2025-08,Q3 2025,FY2025,HR,CC-129,Compensation,120000,123104.0
BL-00484,2025-08,Q3 2025,FY2025,HR,CC-130,Benefits,24000,26956.38
BL-00485,2025-08,Q3 2025,FY2025,HR,CC-130,Software,15000,15125.44
BL-00486,2025-08,Q3 2025,FY2025,HR,CC-134,Professional Services,18000,16950.64
BL-00487,2025-08,Q3 2025,FY2025,HR,CC-130,Training,10000,9444.59
BL-00488,2025-08,Q3 2025,FY2025,HR,CC-133,Facilities,10000,9972.98
BL-00489,2025-08,Q3 2025,FY2025,Legal,CC-138,Compensation,140000,152148.55
BL-00490,2025-08,Q3 2025,FY2025,Legal,CC-138,Benefits,28000,31234.02
BL-00491,2025-08,Q3 2025,FY2025,Legal,CC-139,Professional Services,35000,34062.12
BL-00492,2025-08,Q3 2025,FY2025,Legal,CC-141,Software,10000,9933.74
BL-00493,2025-08,Q3 2025,FY2025,Legal,CC-137,Travel,5000,4840.76
BL-00494,2025-08,Q3 2025,FY2025,Legal,CC-141,Facilities,8000,7928.7
BL-00495,2025-08,Q3 2025,FY2025,Product,CC-143,Compensation,250000,275440.0
BL-00496,2025-08,Q3 2025,FY2025,Product,CC-145,Benefits,50000,56020.99
BL-00497,2025-08,Q3 2025,FY2025,Product,CC-147,Software,40000,41908.87
BL-00498,2025-08,Q3 2025,FY2025,Product,CC-148,Travel,12000,12161.11
BL-00499,2025-08,Q3 2025,FY2025,Product,CC-148,Equipment,15000,14013.41
BL-00500,2025-08,Q3 2025,FY2025,Product,CC-148,Training,10000,10608.14
BL-00501,2025-08,Q3 2025,FY2025,Product,CC-142,Facilities,15000,14850.72
BL-00502,2025-08,Q3 2025,FY2025,Operations,CC-153,Compensation,180000,189011.69
BL-00503,2025-08,Q3 2025,FY2025,Operations,CC-149,Benefits,36000,38394.06
BL-00504,2025-08,Q3 2025,FY2025,Operations,CC-153,Equipment,25000,25300.17
BL-00505,2025-08,Q3 2025,FY2025,Operations,CC-150,Software,18000,18080.33
BL-00506,2025-08,Q3 2025,FY2025,Operations,CC-152,Travel,10000,9971.85
BL-00507,2025-08,Q3 2025,FY2025,Operations,CC-149,Professional Services,12000,12656.55
BL-00508,2025-08,Q3 2025,FY2025,Operations,CC-152,Facilities,18000,16963.51
BL-00509,2025-08,Q3 2025,FY2025,IT,CC-159,Compensation,200000,217991.34
BL-00510,2025-08,Q3 2025,FY2025,IT,CC-162,Benefits,40000,41655.52
BL-00511,2025-08,Q3 2025,FY2025,IT,CC-160,Software,55000,53828.84
BL-00512,2025-08,Q3 2025,FY2025,IT,CC-159,Equipment,35000,36385.09
BL-00513,2025-08,Q3 2025,FY2025,IT,CC-162,Facilities,30000,31211.52
BL-00514,2025-08,Q3 2025,FY2025,IT,CC-159,Professional Services,15000,14820.45
BL-00515,2025-08,Q3 2025,FY2025,IT,CC-156,Training,8000,8045.13
BL-00516,2025-08,Q3 2025,FY2025,Executive,CC-168,Compensation,150000,159473.49
BL-00517,2025-08,Q3 2025,FY2025,Executive,CC-166,Benefits,30000,35019.16
BL-00518,2025-08,Q3 2025,FY2025,Executive,CC-163,Travel,20000,19012.46
BL-00519,2025-08,Q3 2025,FY2025,Executive,CC-163,Professional Services,10000,10030.47
BL-00520,2025-08,Q3 2025,FY2025,Executive,CC-166,Facilities,8000,7626.36
BL-00521,2025-09,Q3 2025,FY2025,Engineering,CC-102,Compensation,420000,451345.2
BL-00522,2025-09,Q3 2025,FY2025,Engineering,CC-102,Benefits,84000,92006.44
BL-00523,2025-09,Q3 2025,FY2025,Engineering,CC-101,Software,65000,63696.12
BL-00524,2025-09,Q3 2025,FY2025,Engineering,CC-104,Equipment,30000,30741.91
BL-00525,2025-09,Q3 2025,FY2025,Engineering,CC-101,Travel,15000,14420.36
BL-00526,2025-09,Q3 2025,FY2025,Engineering,CC-101,Training,12000,12285.96
BL-00527,2025-09,Q3 2025,FY2025,Engineering,CC-103,Facilities,25000,25466.54
BL-00528,2025-09,Q3 2025,FY2025,Sales,CC-108,Compensation,380000,427333.51
BL-00529,2025-09,Q3 2025,FY2025,Sales,CC-112,Benefits,76000,76581.29
BL-00530,2025-09,Q3 2025,FY2025,Sales,CC-109,Travel,45000,45026.18
BL-00531,2025-09,Q3 2025,FY2025,Sales,CC-113,Software,25000,23923.69
BL-00532,2025-09,Q3 2025,FY2025,Sales,CC-110,Training,18000,18201.2
BL-00533,2025-09,Q3 2025,FY2025,Sales,CC-108,Professional Services,15000,15550.79
BL-00534,2025-09,Q3 2025,FY2025,Sales,CC-107,Equipment,10000,9737.46
BL-00535,2025-09,Q3 2025,FY2025,Marketing,CC-119,Compensation,210000,221666.41
BL-00536,2025-09,Q3 2025,FY2025,Marketing,CC-119,Benefits,42000,45744.18
BL-00537,2025-09,Q3 2025,FY2025,Marketing,CC-115,Software,35000,34998.75
BL-00538,2025-09,Q3 2025,FY2025,Marketing,CC-117,Travel,25000,26448.99
BL-00539,2025-09,Q3 2025,FY2025,Marketing,CC-117,Professional Services,40000,40344.58
BL-00540,2025-09,Q3 2025,FY2025,Marketing,CC-118,Training,10000,9886.51
BL-00541,2025-09,Q3 2025,FY2025,Marketing,CC-119,Facilities,15000,14761.64
BL-00542,2025-09,Q3 2025,FY2025,Finance,CC-127,Compensation,160000,174827.7
BL-00543,2025-09,Q3 2025,FY2025,Finance,CC-126,Benefits,32000,33558.86
BL-00544,2025-09,Q3 2025,FY2025,Finance,CC-127,Software,20000,19597.06
BL-00545,2025-09,Q3 2025,FY2025,Finance,CC-125,Professional Services,25000,24992.03
BL-00546,2025-09,Q3 2025,FY2025,Finance,CC-126,Training,8000,7923.93
BL-00547,2025-09,Q3 2025,FY2025,Finance,CC-123,Facilities,12000,11220.53
BL-00548,2025-09,Q3 2025,FY2025,HR,CC-129,Compensation,120000,131098.45
BL-00549,2025-09,Q3 2025,FY2025,HR,CC-132,Benefits,24000,25011.92
BL-00550,2025-09,Q3 2025,FY2025,HR,CC-130,Software,15000,14738.65
BL-00551,2025-09,Q3 2025,FY2025,HR,CC-133,Professional Services,18000,17621.73
BL-00552,2025-09,Q3 2025,FY2025,HR,CC-133,Training,10000,9569.22
BL-00553,2025-09,Q3 2025,FY2025,HR,CC-133,Facilities,10000,10222.4
BL-00554,2025-09,Q3 2025,FY2025,Legal,CC-137,Compensation,140000,146566.86
BL-00555,2025-09,Q3 2025,FY2025,Legal,CC-136,Benefits,28000,29584.08
BL-00556,2025-09,Q3 2025,FY2025,Legal,CC-135,Professional Services,35000,34734.47
BL-00557,2025-09,Q3 2025,FY2025,Legal,CC-138,Software,10000,10224.97
BL-00558,2025-09,Q3 2025,FY2025,Legal,CC-136,Travel,5000,4928.25
BL-00559,2025-09,Q3 2025,FY2025,Legal,CC-137,Facilities,8000,8128.33
BL-00560,2025-09,Q3 2025,FY2025,Product,CC-144,Compensation,250000,283883.83
BL-00561,2025-09,Q3 2025,FY2025,Product,CC-145,Benefits,50000,54250.22
BL-00562,2025-09,Q3 2025,FY2025,Product,CC-148,Software,40000,39190.84
BL-00563,2025-09,Q3 2025,FY2025,Product,CC-148,Travel,12000,11796.34
BL-00564,2025-09,Q3 2025,FY2025,Product,CC-142,Equipment,15000,15873.34
BL-00565,2025-09,Q3 2025,FY2025,Product,CC-148,Training,10000,9883.64
BL-00566,2025-09,Q3 2025,FY2025,Product,CC-143,Facilities,15000,15035.2
BL-00567,2025-09,Q3 2025,FY2025,Operations,CC-155,Compensation,180000,203934.94
BL-00568,2025-09,Q3 2025,FY2025,Operations,CC-151,Benefits,36000,37167.57
BL-00569,2025-09,Q3 2025,FY2025,Operations,CC-151,Equipment,25000,25633.63
BL-00570,2025-09,Q3 2025,FY2025,Operations,CC-153,Software,18000,18290.74
BL-00571,2025-09,Q3 2025,FY2025,Operations,CC-154,Travel,10000,10205.22
BL-00572,2025-09,Q3 2025,FY2025,Operations,CC-154,Professional Services,12000,12241.93
BL-00573,2025-09,Q3 2025,FY2025,Operations,CC-154,Facilities,18000,17959.62
BL-00574,2025-09,Q3 2025,FY2025,IT,CC-156,Compensation,200000,225954.05
BL-00575,2025-09,Q3 2025,FY2025,IT,CC-160,Benefits,40000,41934.86
BL-00576,2025-09,Q3 2025,FY2025,IT,CC-158,Software,55000,53340.6
BL-00577,2025-09,Q3 2025,FY2025,IT,CC-156,Equipment,35000,35639.95
BL-00578,2025-09,Q3 2025,FY2025,IT,CC-161,Facilities,30000,29676.79
BL-00579,2025-09,Q3 2025,FY2025,IT,CC-158,Professional Services,15000,15441.37
BL-00580,2025-09,Q3 2025,FY2025,IT,CC-161,Training,8000,7529.68
BL-00581,2025-09,Q3 2025,FY2025,Executive,CC-165,Compensation,150000,162404.27
BL-00582,2025-09,Q3 2025,FY2025,Executive,CC-163,Benefits,30000,32685.68
BL-00583,2025-09,Q3 2025,FY2025,Executive,CC-164,Travel,20000,21027.03
BL-00584,2025-09,Q3 2025,FY2025,Executive,CC-166,Professional Services,10000,10359.42
BL-00585,2025-09,Q3 2025,FY2025,Executive,CC-168,Facilities,8000,7657.45
BL-00586,2025-10,Q4 2025,FY2025,Engineering,CC-105,Compensation,420000,425391.43
BL-00587,2025-10,Q4 2025,FY2025,Engineering,CC-105,Benefits,84000,86476.78
BL-00588,2025-10,Q4 2025,FY2025,Engineering,CC-105,Software,65000,64323.22
BL-00589,2025-10,Q4 2025,FY2025,Engineering,CC-100,Equipment,30000,30526.05
BL-00590,2025-10,Q4 2025,FY2025,Engineering,CC-106,Travel,15000,15384.55
BL-00591,2025-10,Q4 2025,FY2025,Engineering,CC-102,Training,12000,11632.13
BL-00592,2025-10,Q4 2025,FY2025,Engineering,CC-100,Facilities,25000,25051.38
BL-00593,2025-10,Q4 2025,FY2025,Sales,CC-110,Compensation,380000,377075.65
BL-00594,2025-10,Q4 2025,FY2025,Sales,CC-108,Benefits,76000,74515.14
BL-00595,2025-10,Q4 2025,FY2025,Sales,CC-112,Travel,45000,45379.91
BL-00596,2025-10,Q4 2025,FY2025,Sales,CC-109,Software,25000,24729.49
BL-00597,2025-10,Q4 2025,FY2025,Sales,CC-109,Training,18000,16567.24
BL-00598,2025-10,Q4 2025,FY2025,Sales,CC-107,Professional Services,15000,14657.46
BL-00599,2025-10,Q4 2025,FY2025,Sales,CC-107,Equipment,10000,9843.88
BL-00600,2025-10,Q4 2025,FY2025,Marketing,CC-120,Compensation,210000,212441.11
BL-00601,2025-10,Q4 2025,FY2025,Marketing,CC-115,Benefits,42000,42248.34
BL-00602,2025-10,Q4 2025,FY2025,Marketing,CC-119,Software,35000,34588.68
BL-00603,2025-10,Q4 2025,FY2025,Marketing,CC-114,Travel,25000,23722.39
BL-00604,2025-10,Q4 2025,FY2025,Marketing,CC-120,Professional Services,40000,37544.98
BL-00605,2025-10,Q4 2025,FY2025,Marketing,CC-120,Training,10000,9549.45
BL-00606,2025-10,Q4 2025,FY2025,Marketing,CC-118,Facilities,15000,16167.57
BL-00607,2025-10,Q4 2025,FY2025,Finance,CC-125,Compensation,160000,162509.03
BL-00608,2025-10,Q4 2025,FY2025,Finance,CC-122,Benefits,32000,33735.59
BL-00609,2025-10,Q4 2025,FY2025,Finance,CC-122,Software,20000,19059.1
BL-00610,2025-10,Q4 2025,FY2025,Finance,CC-123,Professional Services,25000,24290.58
BL-00611,2025-10,Q4 2025,FY2025,Finance,CC-125,Training,8000,8064.53
BL-00612,2025-10,Q4 2025,FY2025,Finance,CC-121,Facilities,12000,11372.72
BL-00613,2025-10,Q4 2025,FY2025,HR,CC-129,Compensation,120000,118234.08
BL-00614,2025-10,Q4 2025,FY2025,HR,CC-132,Benefits,24000,26040.69
BL-00615,2025-10,Q4 2025,FY2025,HR,CC-133,Software,15000,14998.85
BL-00616,2025-10,Q4 2025,FY2025,HR,CC-134,Professional Services,18000,18334.42
BL-00617,2025-10,Q4 2025,FY2025,HR,CC-134,Training,10000,10051.23
BL-00618,2025-10,Q4 2025,FY2025,HR,CC-134,Facilities,10000,10008.37
BL-00619,2025-10,Q4 2025,FY2025,Legal,CC-136,Compensation,140000,140281.44
BL-00620,2025-10,Q4 2025,FY2025,Legal,CC-137,Benefits,28000,28740.9
BL-00621,2025-10,Q4 2025,FY2025,Legal,CC-139,Professional Services,35000,36634.9
BL-00622,2025-10,Q4 2025,FY2025,Legal,CC-135,Software,10000,10159.6
BL-00623,2025-10,Q4 2025,FY2025,Legal,CC-141,Travel,5000,4995.35
BL-00624,2025-10,Q4 2025,FY2025,Legal,CC-137,Facilities,8000,7727.15
BL-00625,2025-10,Q4 2025,FY2025,Product,CC-146,Compensation,250000,246408.22
